ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
TJOOZSI,6,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA
TJOOTZI,3,TTJZOO;TIJZOO,I;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA
TJOTOZI,4,TTJZOO;TTIJOO;TIJZOO,I;Z;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8RpzhC8i0wwRpwwE8g0zwD8RpwwRpwwA8JeAgWG?A0/dgCP+AAA
TJOZOSI,6,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA
TJOTZOI,5,TTJZOO;TTIJOO;TIJZOO,I;Z;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8RpzhC8i0wwRpwwE8g0zwD8RpwwRpwwA8JeAgWG?A0/dgCP+AAA
TJOZSOI,6,TJSZOO;TIJSOO;TIJZOO,I;Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8wwR4AtRpC8ywBtRpE8i0RpD8R4Atg0RpA8JeAg?WGAvfrgCUNBAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA
TJOTZIO,4,TTIJOO;TIJZOO,Z;T,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8RpzhC8i0wwRpwwE8g0zwD8RpwwRpwwA8JeAgWG?A0/dgCP+AAA
TJOZSIO,5,TIJSOO;TIJZOO,Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA
TJOZTIO,5,TIJZOO;TTIJZO,T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
TJOSZIO,5,TIJSZO;TIJSOO;TIJZOO,O;Z;S,v115@9gC8zhRpC8ywR4RpE8i0RpD8wwR4g0RpA8JeAgWGAv?vTxCP+AAA;v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8BtzhC8ywR4RpE8R4g0RpD8wwBti0A8JeAgWGAK?3TxCa+AAA
TJOZTOI,6,TTJZOO;TIJZOO;TTIJZO,I;T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
TJOZOTI,6,TTJZOO;TIJZOO;TTIJZO,I;T;O,v115@9gC8zhRpC8BtywRpE8i0RpD8Btwwg0RpA8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8Bti0RpE8ywRpD8Btwwg0RpA8JeAgWGAv?uzPCP+AAA;v115@9gC8zhRpC8ywBtRpE8Rpi0D8wwRpBtg0A8JeAgWGAv?fjxCP+AAA;v115@9gC8zhRpC8ywAtg0RpE8Btg0RpD8wwAth0RpA8JeAg?WGAvfjxCP+AAA;v115@9gC8ywAtRpC8ywBtRpE8i0RpD8xwAtg0RpA8JeAgWG?AvfjxCvOBAA;v115@9gC8xwzhC8zwRpg0E8BtRpg0D8xwBth0A8JeAgWGAK?njxCU+AAA
